timestamp,asset_id,temperature,vibration,run_hours
2024-01-20T06:00:00Z,MOTOR-001,68.5,1.8,1200.0
2024-01-20T07:00:00Z,MOTOR-001,69.2,1.9,1201.0
2024-01-20T08:00:00Z,MOTOR-001,70.1,2.0,1202.0
2024-01-20T09:00:00Z,MOTOR-001,71.5,2.1,1203.0
2024-01-20T10:00:00Z,MOTOR-001,72.8,2.2,1204.0
2024-01-20T11:00:00Z,MOTOR-001,74.2,2.4,1205.0
2024-01-20T12:00:00Z,MOTOR-001,75.8,2.6,1206.0
2024-01-20T13:00:00Z,MOTOR-001,77.1,2.9,1207.0
2024-01-20T14:00:00Z,MOTOR-001,78.5,3.2,1208.0
2024-01-20T15:00:00Z,MOTOR-001,79.8,3.5,1209.0
2024-01-20T16:00:00Z,MOTOR-001,81.2,3.8,1210.0
2024-01-20T17:00:00Z,MOTOR-001,82.5,4.1,1211.0
2024-01-20T18:00:00Z,MOTOR-001,83.8,4.4,1212.0
2024-01-20T19:00:00Z,MOTOR-001,85.1,4.7,1213.0
2024-01-20T20:00:00Z,MOTOR-001,86.5,5.0,1214.0
2024-01-20T06:00:00Z,PUMP-001,42.1,1.2,950.0
2024-01-20T07:00:00Z,PUMP-001,42.8,1.3,951.0
2024-01-20T08:00:00Z,PUMP-001,43.5,1.4,952.0
2024-01-20T09:00:00Z,PUMP-001,44.2,1.5,953.0
2024-01-20T10:00:00Z,PUMP-001,44.9,1.6,954.0
2024-01-20T11:00:00Z,PUMP-001,45.6,1.7,955.0
2024-01-20T12:00:00Z,PUMP-001,46.3,1.8,956.0
2024-01-20T13:00:00Z,PUMP-001,47.0,1.9,957.0
2024-01-20T14:00:00Z,PUMP-001,47.7,2.0,958.0
2024-01-20T15:00:00Z,PUMP-001,48.4,2.1,959.0
2024-01-20T16:00:00Z,PUMP-001,49.1,2.2,960.0
2024-01-20T17:00:00Z,PUMP-001,49.8,2.3,961.0
2024-01-20T18:00:00Z,PUMP-001,50.5,2.4,962.0
2024-01-20T19:00:00Z,PUMP-001,51.2,2.5,963.0
2024-01-20T20:00:00Z,PUMP-001,51.9,2.6,964.0
